name,price
"Попкорн солёный Маркет Перекрёсток, 100г","59,99"
,"59,99"
"Попкорн солёный Маркет Перекрёсток, 100г","59,99"
"Попкорн сырный Маркет Перекрёсток, 85г","65,99"
"Кукуруза воздушная Маккорн с карамелью, 250г","69,99"
"Кукуруза воздушная Маккорн шоколадный вкус, 250г","95,99"
name,price
"Полотенца бумажные белые 2 слоя Home Story, 2шт","74,99"
"Квас Очаковский двойного брожения, 2л","89,99"
"Вода Святой источник ключевая питьевая негазированная, 1.5л","39,99"
"Вода Святой источник природная питьевая газированная, 1.5л","39,99"
"Вода Псыж минеральная питьевая лечебно-столовая газированная, 1л","44,99"
"Индейка Bahar Keto с овощами, 170г","159,99"
"Яйцо куриное пищевое столовое С1 Пр!ст, 10шт","69,99"
Головы цыплят-бройлеров замороженные,"65,99"
"Набор конфет Merci шоколадные ассорти 8 видов шоколада, 250г","249,99"
"Вино безалкогольное Free Feather Шардоне белое полусладкое, 750мл","339,99"
"Бумага рисовая Sen Soy Premium, 100г","99,99"
"Сельдь атлантическая Матиас XXL отборный оливковый филе слабосолёное в масле, 300г","179,99"
"Сельдь Русское Море Исландка филе-кусочки в красном вине, 115г","79,99"
"Холодный чай Lipton Зеленый, 1.5л","149,99"
Ноги свиные замороженные,"91,99"
"Конфеты Красный Октябрь Ромашки, 250г","139,99"
"Индейка Bahar с артишоками, 165г","159,99"
"Сельдь оригинальное филе Новый Океан, 250г","139,99"
"Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт","79,99"
"Черника быстрозамороженная Маркет Перекрёсток, 300г","249,99"
"Водоросли морские Sen Soy Premium Суши-нори, 28г","199,99"
"Жевательная резинка Chupa Chups Big Babol Клубника, 21г","19,99"
"Козинак Азовская КФ подсолнечный, 50г","13,99"
"Жевательная резинка Ментос Пьюр Фреш мята, 23.3г","39,99"
"Жвачка Dirol XXl Мята без сахара, 19г","29,99"
"Жевательная резинка Mentos Pure White Нежная мята, 15.5г","29,99"
"Жевательная резинка Mentos Pure Fresh Свежая мята, 15.5г","29,99"
"Рахат-лукум Азовская КФ ассорти, 200г","71,99"
"Щербет сливочный Bonte Bakery, 200г","49,99"
"Халва Азовская КФ подсолнечная, 350г","91,99"
"Халва льняная с семенами льна на фруктозе Зелёная Линия, 250г","99,99"
"Козинак Азовская КФ подсолнечный, 159г","37,99"
"Изделие кондитерское Чак-Чак Маркет, 300г","119,99"
"Драже M&M's Солёный арахис с солью и молочным шоколадом в хрустящей разноцветной глазури, 145г","149,99"
"Батончик шоколадный Snickers, 50.5г","59,99"
Баклажаны,"289,99"
"Вафли Яшкино Шоколадные, 300г","104,99"
"Вафли Коровка Топлёное молоко, 300г","169,99"
"Форель Gustafsen филе-кусок слабосолёная, 180г","299,99"
"Пряники заварные глазированные с клюквенной начинкой Bonte, 300г","64,99"
"Мини-маффины с варёной сгущёнкой Bonte, 432.9г","124,99"
"Шоколадное яйцо Kinder Joy UglyDolls Для девочек с игрушкой, 20г","139,99"
"Конфеты Райские Облака суфле сливочное, 200г","114,99"
"Вафли Яшкино в шоколадной глазури, 200г","59,99"
Пангасиус филе из замороженного сырья,"299,00"
"Килька Балтийский Берег из филе кильки балтийской пряного посола в масле, 145г","149,99"
"Драже Tic Tac Клубничный Микс, 16г","77,99"
"Йогурт Epica Crispy карамель 10.2%, 140г","81,99"
"Шоколад молочный Milka с карамельной начинкой, 90г","99,99"
Дорадо охлаждённая,"799,00"
"Кекс Русский Бисквит Мраморный с какао, 225г","77,99"
"Шоколад молочный Ritter Sport с кусочками солёного кешью, 100г","139,99"
"Мармелад Fruittella Змеи XXL жевательный, 70г","79,99"
"Печенье Кухмастер Американо сдобное с кусочками шоколада, 270г","134,99"
"Крекер Яшкино Французский хрустящий с кунжутом, 185г","49,99"
"Петрушка упаковка, 100г","74,99"
"Печенье Belvita Утреннее витаминизированное фундук-мёд, 225г","149,99"
"Чипсы Lay's Stax Ребрышки барбекю, 140г","239,99"
"Печенье Lotte Choco Pie прослоёное глазированное, 336г","194,99"
"Мини-рулеты Мастер Десерта бисквитные с кремом варёная сгущёнка, 175г","69,99"
"Мармелад Мармеландия Фруктовый коктейль, 250г","159,99"
"Йогурт Epica питьевой Натуральный 2.9%, 260мл","54,99"
"Зефир Шармэль ваниль, 85г","81,99"
"Ирис Meller с шоколадом, 38г","51,99"
"Шоколад молочный Milka Bubbles пористый c кокосовой начинкой, 92г","89,99"
"Зефир Шармэль Классический в шоколаде, 75г","119,99"
"Печенье Юбилейное с овсяными хлопьями витаминизированное, 268г","69,99"
"Шоколад Ritter Sport Лесной орех амарант, 100г","149,99"
"Крекер Tuc Cheezzz с сыром, 100г","82,49"
"Рулет Kovis De Luxe бисквитный с варёной сгущёнкой, 200г","54,99"
"Печенье Oreo с какао начинкой ваниль, 228г","139,99"
"Сёмга Русское Море филе-ломтики слабосолёная, 120г","369,99"
"Йогурт Epica питьевой манго 2.5%, 260мл","54,99"
"Йогурт Epica питьевой вишня-банан 2.5%, 260мл","54,99"
Карамель Chupa Chups Мини ассорти вкусов клубники-яблока-апельсина-колы,"799,99"
"Йогурт Даниссимо с хрустящими шариками и солёной карамелью 6.9%, 105г","65,99"
"Шоколад Ritter Sport Миндаль киноа тёмный, 100г","149,99"
"Круассан 7 Days с кремом ваниль, 4х65г","164,99"
"Пирожное Orion Choco Pie Dark в глазури, 12x30г","219,99"
"Печенье Choco Pie прослоённое глазированное, 168г","97,99"
"Печенье Milka Biscuits с кусочками молочного шоколада, 168г","229,99"
"Конфеты Mamba Волшебный твист жевательные ассорти вкусов, 150г","179,99"
"Мармелад Mamba Сочный центр фрумеладки жевательный, 70г","69,99"
"Паста Санта Бремор Антарктик криль сливочно-чесночный из морепродуктов, 150г","109,99"
"Сахарная вата Счастливые дети в шарике, 16г","23,99"
"Шоколад молочный Milka, 85г","99,99"
"Йогурт Teos Греческий Черника 2%, 140г","53,99"
"Сельдерей черешковый, 1шт","149,99"
Конфеты Рот Фронт Батончики шоколадно-сливочные,"499,90"
"Сыр Galbani Моцарелла мини 45%, 150г","259,99"
Печенье песочное Twix Minis с карамелью и шоколадом,"899,99"
"Круассан Chipicao с кремом какао с вкладышем, 60г","39,99"
"Филе грудки цыплёнка-бройлера Первая Свежесть большое охлаждённое, 750г","289,99"
"Йогурт Teos Греческий Вишня 2%, 140г","53,99"
"Шоколад молочный Alpen Gold черника йогурт, 85г","99,98"
"Йогурт Teos Клубника Греческий 2%, 140г","53,99"
"Круассан 7 Days ягодное ассорти, 65г","39,99"
"Мини-круассаны 7 Days Double какао-ваниль, 300г","179,99"
"Батончик-мюсли #ПП личи в йогуртовой глазури, 30г","45,99"
Конфеты Рот Фронт батончики,"499,90"
"Сыр полутвёрдый Брест-Литовск Финский 45%, 200г","199,99"
Шоколадный батончик Milky Way Minis с суфле в молочном шоколаде,"879,99"
Батончики Bounty с нежной мякотью кокоса в молочном шоколаде,"879,99"
Конфеты Konti Княжеские,"819,99"
"Мини-круассаны 7 Days Double ваниль-вишня, 300г","169,99"
Конфеты Konti Золотая Лилия,"499,99"
"Икра кеты Путина зернистая лососёвая солёная, 120г","869,99"
"Шоколад белый Alpen Gold с миндалём и кокосовой стружкой, 85г","69,99"
"Круассан 7 Days Super Max с кремом какао, 110г","64,99"
"Продукт творожный Даниссимо тропическое манго-маракуйя 5.6%, 130г","49,99"
"Творог Искренне Ваш 9%, 180г","69,99"
Сыр полутвёрдый Радость Вкуса Русский 45%,"699,90"
"Сыр полутвёрдый Брест-Литовск Классический 45%, 200г","219,99"
Конфеты Махеевъ 35 с шоколадной начинкой,"349,90"
"Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 1л","129,99"
"Творожок Чудо Персик-Маракуйя 4.2%, 100г","49,99"
"Творог Карат+ зернёный домашний 4%, 200г","104,99"
"Сыр творожный Hochland Сливочный 60%, 220г","184,99"
Сыр Киприно Мастер сливочный шар 50%,1
"Крабовые палочки Меридиан Снежный краб, 200г","149,99"
"Слойка Мастер Пироговъ с сыром, 70г","55,99"
Сыр Киприно Российский шар 50%,1
"Шоколад белый Alpen Gold Пинаколада манго-ананас-маракуйя с кокосовой стружкой и воздушным рисом, 80г","99,98"
Сыр Тильзит 45%,"499,90"
"Шоколад молочный Alpen Gold Орео со вкусом арахисовой пасты и кусочками печенья, 90г","99,98"
Сыр полутвёрдый Ларец с грецкими орехами 50%,1
"Шпинат мини упаковка, 125г","119,99"
Конфеты Славянка Лёвушка с мягкой карамелью,"109,99"
Виноград Киш-миш,"199,99"
"Сыр Ламбер Тильзитер в нарезке 50%, 150г","239,99"
"Пирожное Mirel Муравейник, 420г","269,99"
Халва Рот Фронт глазированная в шоколадной глазури,"879,99"
Конфеты Яшкино Крокант с миндалём,"469,99"
"Продукт творожный Даниссимо с вишней и маскарпоне 5.6%, 130г","49,99"
"Продукт творожный Даниссимо со вкусом сливочной карамели с наполнителем 5,6%, 110г","47,99"
"Продукт творожный Даниссимо Сочная малина маракуйя с наполнителем 5,6%, 110г","47,99"
Шейка свиная без кости Перекрёсток,"499,00"
"Колбаски из говядины Мираторг Чевапчичи, 300г","149,99"
"Чебупели Горячая штучка с ветчиной и сыром, 300г","164,99"
Авокадо,"399,99"
Сыр Ламбер Традиционный 50%,"869,90"
"Творог Савушкин рассыпчатый 5%, 700г","309,99"
"Продукт творожный Даниссимо со вкусом пломбира 5,4%, 110г","47,99"
"Молоко Простоквашино топлёное 3.2%, 930мл","92,99"
"Продукт творожный Даниссимо со вкусом мороженого крем-брюле 5,5%, 110г","47,99"
Сыр Киприно Советский 50%,1
"Вермишель Роллтон с курицей на домашнем бульоне быстрого приготовления, 60г","45,99"
"Йогурт Даниссимо Фантазия белая глазурь со вкусом вишни и финика 6.9%, 105г","85,99"
"Продукт творожный Даниссимо банан в карамели и кофе с наполнителем 5.8%, 130г","49,99"
"Йогурт Даниссимо Фантазия клубника и молочный шоколад с хрустящими шариками в глазури 6.9%, 105г","85,99"
